Intel(R) Core(TM) i9-10900K CPU @ 3.70GHz   3.70 GHz
Samsung SSD 970 Evo Plus 2TB

vue - 10 runs:
label,min(seconds),max(seconds),mean(seconds),std deviation,median(seconds)
unzip,0.19912289999774657,0.2099369000061415,0.20168291000009048,0.0036150701921978333,0.19991255000059027
git init,0.04862519999733195,0.04948899999726564,0.048917169999913315,0.00025891508300472605,0.048895050000282936
git add,1.9041482000029646,4.80805649998365,2.95751943999785,1.0666716381310994,2.8121417999936966
git initial commit,0.5893808999971952,1.4527511000051163,0.7504468600003747,0.2908104024532595,0.6183835999981966
modify all files,0.12920739999390207,0.13919899999746121,0.13300479999743403,0.002531771016991258,0.13284984999336302
git stash,2.147897999995621,4.762267700018128,2.676241610001307,0.8593545021352889,2.2420595999865327
git stash pop,0.38909029998467304,1.1508001000038348,0.4846953499974916,0.2342181382399128,0.4115921500051627
git add modified,0.18214590000570752,0.191353700007312,0.18654623000475112,0.0024277374426033864,0.18676405001315288
git status,0.035132599994540215,0.06659420000505634,0.056853980003506874,0.012972185930941781,0.0650244999997085
git second commit,0.21465040001203306,1.149031599983573,0.3110092199931387,0.29448757528873465,0.21666819999518339
recursive remove,0.41766539998934604,2.426851099997293,0.9040672399947652,0.6957785597613881,0.4272919000068214

react - 10 runs:
label,min(seconds),max(seconds),mean(seconds),std deviation,median(seconds)
unzip,2.3732716999948025,3.2836854999768548,2.6494436099979795,0.3352677124864997,2.466339650010923
git init,0.04925019998336211,0.06460910002351739,0.05211681999790017,0.004571983189289746,0.05080384999746457
git add,26.092304799996782,29.646933100011665,27.066046449996065,0.9998094228819139,26.806051149993436
git initial commit,3.6196555999922566,4.443629499990493,3.87752164999838,0.2616988329011737,3.797677449998446
modify all files,1.5503551999863703,2.261209999996936,1.6844438899977832,0.2094584838529753,1.6400683499959996
git stash,25.12766160001047,27.306747700000415,26.337367760000053,0.8602580122419956,26.70878945000004
git stash pop,4.53598059999058,7.873292300006142,5.197933319996809,1.0197401045725338,4.9038022000022465
git add modified,2.662674099992728,4.617498200008413,2.973936979990685,0.6031419513868432,2.757143549984903
git status,0.10279850001097657,0.25474090001080185,0.12023334000259638,0.04741557302111719,0.10391960000561085
git second commit,7.625021100015147,11.504238800000167,10.182340510003268,1.1308391790080574,10.384886150000966
recursive remove,0.782989200000884,4.473910900007468,1.3675153400021371,1.1347309875543732,0.9636994500033325

M2 Max Macbook Pro 1TB SSD
vue - 10 runs
label,min(seconds),max(seconds),mean(seconds),std deviation,median(seconds)
unzip,0.04920941700038384,0.05976770800043596,0.05263705830002437,0.002891629154113202,0.05173056199782877
git init,0.02547216599850799,0.028287375000218162,0.026619529099116336,0.0009382793812597931,0.02641470849812322
git add,0.30260637500032317,0.32191720899936627,0.3135053166995931,0.005785830181529544,0.31403510450036265
git initial commit,0.11202350000166916,0.14409270800024387,0.12771538740016694,0.014275112997497392,0.128483562000838
modify all files,0.02972066700021969,0.032961834000161616,0.03183500030027062,0.0008342266948086605,0.03197425049984304
git stash,0.4696943749986531,0.5079205830006686,0.4925042792001477,0.013937974730968384,0.49958327099921007
git stash pop,0.18044279100286076,0.2086569579987554,0.19061640410000108,0.009536503069246858,0.18715741699998034
git add modified,0.04506345800109557,0.05108329099675757,0.04722060430030979,0.0017879184892111075,0.04692500000237487
git status,0.02087487500102725,0.04291962500064983,0.036692433400821754,0.007647511084835276,0.03963354200095637
git second commit,0.09226058399872272,0.11923933299840428,0.10932074570009717,0.011160409724893969,0.11525958299898775
recursive remove,0.10793462500078022,0.13568479199966532,0.11748304180036939,0.009751055654802384,0.1149965835011244

react - 10 runs
label,min(seconds),max(seconds),mean(seconds),std deviation,median(seconds)
unzip,0.588892666000902,0.6663543750000827,0.6341180208004517,0.023823685119812515,0.6361793955020403
git init,0.02811916700011352,0.03078362499945797,0.028910704200461622,0.0008001899617485509,0.02855643700058863
git add,3.5770369169986225,4.138618165998196,3.7291884623999065,0.21245133389054324,3.6368726455002616
git initial commit,0.9339829999989888,1.4882633749984961,1.006679600199277,0.1701307031850867,0.9519962710000982
modify all files,0.36413912499847356,0.42660129200157826,0.3867959876999521,0.019301682807538887,0.38263575049859355
git stash,5.508754041999055,6.176706000002014,5.748441908499444,0.2271329033696698,5.67721685449942
git stash pop,2.0267242090012587,2.5835212919992045,2.2561346499998765,0.18393933881929916,2.24204449950048
git add modified,0.8957242079995922,0.9753034169989405,0.9236919125003624,0.023784667557837296,0.9150538335015881
git status,0.08280837500205962,0.08613241700004437,0.08470910420001018,0.001025342475268024,0.08466129149928747
git second commit,1.2854076250005164,1.389275165998697,1.3268205499000032,0.02856672004557926,1.3205363955003122
recursive remove,1.262597665998328,1.409640333000425,1.354854504099785,0.04678422038398526,1.3669316250015981
